City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,80.4,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
6,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
9,Vila Velha,BR,71.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
11,San Andres,CO,81.77,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
13,Olinda,BR,77.14,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
16,Minab,IR,85.68,clear sky,27.1467,57.0801,Bam campground
21,Lianzhou,CN,72.25,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
22,Laguna,US,86.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
26,Rikitea,PF,77.25,few clouds,-23.1203,-134.9692,People ThankYou
28,Kapaa,US,80.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
30,Saint-Joseph,RE,70.18,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
33,Faro,PT,71.38,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
34,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Acarau,BR,77.56,clear sky,-2.8856,-40.12,castelo pizzaria
44,Jamestown,US,75.06,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Karanja,IN,87.62,scattered clouds,20.4833,77.4833,Gurukrupa Hotel and Restaurant
51,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
56,Kantunilkin,MX,85.08,overcast clouds,21.0917,-87.45,Posada Paraiso
57,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
58,Hobyo,SO,79.38,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
63,Bull Savanna,JM,81.1,broken clouds,17.8868,-77.5902,Big Red's
65,Matara,LK,77.74,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
66,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
67,Keti Bandar,PK,82.06,few clouds,24.1447,67.4497,Haji laloo memon house
68,Puerto Quijarro,BO,78.4,overcast clouds,-17.7833,-57.7667,Hotel palance
71,Namatanai,PG,81.23,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
73,Vaini,TO,77.23,light rain,-21.2,-175.2,Keleti Beach Resort
75,Hilo,US,80.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Bathsheba,BB,79.88,overcast clouds,13.2167,-59.5167,Atlantis Hotel
84,Acapulco,MX,85.66,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
85,Kavieng,PG,82.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
93,Carnarvon,AU,70.23,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
94,Vanimo,PG,79.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
