City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,53.1,75,0,8.39,clear sky
1,Ushuaia,AR,-54.8,-68.3,33.46,93,75,23.02,light snow
2,Butaritari,KI,3.0707,172.7902,80.4,72,98,7.92,overcast clouds
3,Dikson,RU,73.5069,80.5464,21.79,93,92,5.75,overcast clouds
4,Nemuro,JP,43.3236,145.575,50.81,97,69,13.91,broken clouds
5,Avarua,CK,-21.2078,-159.775,82.45,74,38,10.36,scattered clouds
6,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,20,6.91,few clouds
7,Lebu,CL,-37.6167,-73.65,46.31,74,42,16.44,scattered clouds
8,Thompson,CA,55.7435,-97.8558,39.36,100,100,11.5,overcast clouds
9,Vila Velha,BR,-20.3297,-40.2925,71.94,79,29,0.94,scattered clouds
10,Tessalit,ML,20.1986,1.0114,94.37,17,100,7.67,overcast clouds
11,San Andres,CO,12.5847,-81.7006,81.77,81,100,15.1,overcast clouds
12,Manturovo,RU,58.3353,44.7619,38.3,96,21,5.21,few clouds
13,Olinda,BR,-8.0089,-34.8553,77.14,83,44,16.28,scattered clouds
14,Port Alfred,ZA,-33.5906,26.891,56.17,95,32,1.99,scattered clouds
15,Ponta Do Sol,PT,32.6667,-17.1,67.71,75,73,2.13,broken clouds
16,Minab,IR,27.1467,57.0801,85.68,48,0,5.84,clear sky
17,Pisco,PE,-13.7,-76.2167,66.02,80,9,5.3,clear sky
18,Ayagoz,KZ,47.9714,80.4392,63.21,61,75,5.73,broken clouds
19,Bella Union,UY,-30.2752,-57.6007,59.09,97,100,9.08,heavy intensity rain
20,Zirgan,RU,53.2222,55.9185,43.95,77,75,3.33,broken clouds
21,Lianzhou,CN,24.7811,112.3825,72.25,99,100,1.57,overcast clouds
22,Laguna,US,38.421,-121.4238,86.14,42,0,21.85,clear sky
23,Souillac,MU,-20.5167,57.5167,66.58,94,20,6.91,few clouds
24,Bobrov,RU,51.0961,40.0333,50.61,93,72,17.22,broken clouds
25,Manakara,MG,-22.1333,48.0167,69.12,95,12,4.65,few clouds
26,Rikitea,PF,-23.1203,-134.9692,77.25,74,23,17.13,few clouds
27,Ketchikan,US,55.3422,-131.6461,55.42,60,100,3.98,overcast clouds
28,Kapaa,US,22.0752,-159.319,80.47,62,25,4.0,scattered clouds
29,Hasaki,JP,35.7333,140.8333,70.29,85,100,25.21,overcast clouds
30,Saint-Joseph,RE,-21.3667,55.6167,70.18,76,4,1.59,clear sky
31,Nishihara,JP,26.1842,127.7558,69.85,100,100,9.22,moderate rain
32,Punta Arenas,CL,-53.15,-70.9167,41.11,65,90,22.17,light rain
33,Faro,PT,37.0194,-7.9322,71.38,49,0,6.91,clear sky
34,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,88,7.0,overcast clouds
35,Clyde River,CA,70.4692,-68.5914,18.81,73,88,8.93,overcast clouds
36,Qaanaaq,GL,77.484,-69.3632,31.05,71,4,1.45,clear sky
37,Peskovka,RU,59.0448,52.3606,41.32,91,75,8.72,broken clouds
38,Bredasdorp,ZA,-34.5322,20.0403,52.92,90,19,3.83,few clouds
39,Mount Isa,AU,-20.7333,139.5,58.77,63,0,6.91,clear sky
40,Srednekolymsk,RU,67.45,153.6833,38.1,58,100,17.78,overcast clouds
41,Birobidzhan,RU,48.8,132.95,57.97,87,79,6.58,broken clouds
42,Acarau,BR,-2.8856,-40.12,77.56,86,6,9.98,clear sky
43,Luderitz,NA,-26.6481,15.1594,57.33,80,0,4.32,clear sky
44,Jamestown,US,42.097,-79.2353,75.06,71,100,14.97,overcast clouds
45,Cidreira,BR,-30.1811,-50.2056,63.64,95,100,1.61,moderate rain
46,College,US,64.8569,-147.8028,68.58,39,100,7.0,overcast clouds
47,Karanja,IN,20.4833,77.4833,87.62,36,41,13.33,scattered clouds
48,Khatanga,RU,71.9667,102.5,30.13,73,66,6.11,broken clouds
49,Tasiilaq,GL,65.6145,-37.6368,37.56,69,91,3.53,overcast clouds
50,Bonavista,CA,48.6499,-53.1147,38.95,67,8,14.63,clear sky
51,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,0,9.22,clear sky
52,Iberia,US,29.9502,-91.7507,90.05,41,0,6.69,clear sky
53,Tuktoyaktuk,CA,69.4541,-133.0374,35.26,93,100,9.53,overcast clouds
54,Longyearbyen,SJ,78.2186,15.6401,37.6,85,66,5.12,broken clouds
55,Bilma,NE,18.6853,12.9164,90.18,9,0,7.29,clear sky
56,Kantunilkin,MX,21.0917,-87.45,85.08,62,100,7.61,overcast clouds
57,Atuona,PF,-9.8,-139.0333,78.15,79,10,17.07,clear sky
58,Hobyo,SO,5.3505,48.5268,79.38,83,93,27.22,overcast clouds
59,Cap-Aux-Meules,CA,47.3821,-61.8597,47.19,83,99,11.07,light rain
60,Newport,GB,51.5877,-2.9984,58.44,93,100,11.88,overcast clouds
61,Cape Town,ZA,-33.9258,18.4232,59.92,87,0,8.05,clear sky
62,Quimper,FR,48.0,-4.1,57.78,77,100,3.44,overcast clouds
63,Bull Savanna,JM,17.8868,-77.5902,81.1,67,77,15.88,broken clouds
64,East London,ZA,-33.0153,27.9116,60.53,84,90,4.5,overcast clouds
65,Matara,LK,5.9485,80.5353,77.74,89,84,10.2,broken clouds
66,Grand Gaube,MU,-20.0064,57.6608,70.38,76,0,3.0,clear sky
67,Keti Bandar,PK,24.1447,67.4497,82.06,87,11,19.35,few clouds
68,Puerto Quijarro,BO,-17.7833,-57.7667,78.4,54,100,2.37,overcast clouds
69,Erdenet,MN,49.0333,104.0833,49.41,82,100,6.38,overcast clouds
70,Port Elizabeth,ZA,-33.918,25.5701,55.09,99,25,1.99,scattered clouds
71,Namatanai,PG,-3.6667,152.4333,81.23,76,100,4.07,overcast clouds
72,Tonkino,RU,57.3726,46.4629,39.45,96,75,6.29,broken clouds
73,Vaini,TO,-21.2,-175.2,77.23,84,100,12.15,light rain
74,Yellowknife,CA,62.456,-114.3525,59.56,36,40,16.11,scattered clouds
