City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-05-26 12:58:34,-42.7826,147.0587,53.92,87,8,3.51
1,Sur,OM,2022-05-26 12:58:34,22.5667,59.5289,96.35,39,0,7.96
2,Saint-Philippe,RE,2022-05-26 12:58:35,-21.3585,55.7679,78.39,75,47,2.84
3,Abu Dhabi,AE,2022-05-26 12:57:05,24.4667,54.3667,96.82,36,0,23.02
4,Ponta Do Sol,PT,2022-05-26 12:58:35,32.6667,-17.1,72.01,77,66,3.67
5,Atuona,PF,2022-05-26 12:58:35,-9.8,-139.0333,77.92,74,20,19.55
6,Cabo San Lucas,MX,2022-05-26 12:55:00,22.8909,-109.9124,69.51,84,0,9.08
7,Albany,US,2022-05-26 12:56:04,42.6001,-73.9662,60.17,58,100,1.01
8,Lata,PT,2022-05-26 12:58:57,40.1629,-8.3327,79.92,23,8,4.81
9,Jamestown,US,2022-05-26 12:58:57,42.097,-79.2353,65.71,82,100,5.01
10,Ardabil,IR,2022-05-26 12:58:58,38.2498,48.2933,58.55,58,40,16.11
11,Clyde River,CA,2022-05-26 12:58:58,70.4692,-68.5914,19.63,68,0,11.5
12,Cape Town,ZA,2022-05-26 12:55:46,-33.9258,18.4232,67.37,73,75,8.01
13,Barrow,US,2022-05-26 12:55:01,71.2906,-156.7887,34.57,92,100,12.01
14,Pevek,RU,2022-05-26 12:58:58,69.7008,170.3133,29.8,85,100,7.9
15,Inhambane,MZ,2022-05-26 12:58:59,-23.865,35.3833,84.18,58,20,4.61
16,Antofagasta,CL,2022-05-26 12:58:59,-23.65,-70.4,58.28,71,48,3.74
17,Cape Canaveral,US,2022-05-26 12:58:59,28.4058,-80.6048,84.27,73,13,12.86
18,Bredasdorp,ZA,2022-05-26 12:59:00,-34.5322,20.0403,65.34,63,52,5.41
19,Hithadhoo,MV,2022-05-26 12:59:00,-0.6,73.0833,84.07,66,100,9.26
20,Punta Arenas,CL,2022-05-26 12:56:00,-53.15,-70.9167,39.31,70,20,18.41
21,Port Alfred,ZA,2022-05-26 12:55:06,-33.5906,26.891,61.18,94,57,4.0
22,San Quintin,MX,2022-05-26 12:59:01,30.4833,-115.95,58.5,90,0,4.54
23,Finschhafen,PG,2022-05-26 12:59:01,-6.6024,147.8681,79.23,85,97,1.25
24,Tessalit,ML,2022-05-26 12:59:02,20.1986,1.0114,102.88,11,28,8.34
25,Cap Malheureux,MU,2022-05-26 12:59:02,-19.9842,57.6142,78.48,66,5,7.0
26,Busselton,AU,2022-05-26 12:59:02,-33.65,115.3333,56.48,82,0,8.9
27,Bluff,NZ,2022-05-26 12:59:03,-46.6,168.3333,38.8,85,15,6.62
28,Ribeira Grande,PT,2022-05-26 12:59:03,38.5167,-28.7,66.6,68,40,11.5
29,Tuktoyaktuk,CA,2022-05-26 12:59:03,69.4541,-133.0374,36.45,82,88,6.29
30,Joao Pinheiro,BR,2022-05-26 12:55:27,-17.7425,-46.1725,71.71,56,2,9.89
